Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
3/28/11,AQS,170010007,1,0.051,ppm,47,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
3/29/11,AQS,170010007,1,0.047,ppm,44,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
3/30/11,AQS,170010007,1,0.048,ppm,44,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
3/31/11,AQS,170010007,1,0.051,ppm,47,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
4/1/11,AQS,170010007,1,0.049,ppm,45,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
4/2/11,AQS,170010007,1,0.053,ppm,49,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
4/3/11,AQS,170010007,1,0.047,ppm,44,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
4/4/11,AQS,170010007,1,0.046,ppm,43,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
4/5/11,AQS,170010007,1,0.054,ppm,50,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
4/6/11,AQS,170010007,1,0.059,ppm,64,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
4/7/11,AQS,170010007,1,0.039,ppm,36,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
4/8/11,AQS,170010007,1,0.043,ppm,40,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
4/9/11,AQS,170010007,1,0.049,ppm,45,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
4/10/11,AQS,170010007,1,0.038,ppm,35,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
4/11/11,AQS,170010007,1,0.05,ppm,46,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
4/12/11,AQS,170010007,1,0.054,ppm,50,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
4/13/11,AQS,170010007,1,0.06,ppm,67,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
4/14/11,AQS,170010007,1,0.066,ppm,87,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
4/15/11,AQS,170010007,1,0.04,ppm,37,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
4/16/11,AQS,170010007,1,0.044,ppm,41,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
4/17/11,AQS,170010007,1,0.049,ppm,45,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
4/18/11,AQS,170010007,1,0.039,ppm,36,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
4/19/11,AQS,170010007,1,0.04,ppm,37,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
4/20/11,AQS,170010007,1,0.042,ppm,39,JOHN WOOD COMMUNITY COLLEGE,14,82,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
4/21/11,AQS,170010007,1,0.047,ppm,44,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
4/22/11,AQS,170010007,1,0.028,ppm,26,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
4/23/11,AQS,170010007,1,0.037,ppm,34,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
4/24/11,AQS,170010007,1,0.04,ppm,37,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
4/25/11,AQS,170010007,1,0.038,ppm,35,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
4/26/11,AQS,170010007,1,0.035,ppm,32,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
4/27/11,AQS,170010007,1,0.04,ppm,37,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
4/28/11,AQS,170010007,1,0.05,ppm,46,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
4/29/11,AQS,170010007,1,0.052,ppm,48,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
4/30/11,AQS,170010007,1,0.053,ppm,49,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
5/1/11,AQS,170010007,1,0.048,ppm,44,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
5/2/11,AQS,170010007,1,0.048,ppm,44,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
5/3/11,AQS,170010007,1,0.042,ppm,39,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
5/4/11,AQS,170010007,1,0.047,ppm,44,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
5/5/11,AQS,170010007,1,0.05,ppm,46,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
5/6/11,AQS,170010007,1,0.048,ppm,44,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
5/7/11,AQS,170010007,1,0.056,ppm,54,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
5/8/11,AQS,170010007,1,0.054,ppm,50,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
5/9/11,AQS,170010007,1,0.044,ppm,41,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
5/10/11,AQS,170010007,1,0.045,ppm,42,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
5/11/11,AQS,170010007,1,0.04,ppm,37,JOHN WOOD COMMUNITY COLLEGE,17,100,44201,Ozone,39500,"Quincy, IL-MO",17,Illinois,1,Adams,39.91540937,-91.33586832
