Date,AQS_SITE_ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CSA_CODE,CSA_NAME,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
8/4/2013,29-077-0042,1,0.031,ppm,26,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
8/5/2013,29-077-0042,1,0.035,ppm,30,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
8/6/2013,29-077-0042,1,0.039,ppm,33,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
8/7/2013,29-077-0042,1,0.043,ppm,36,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
8/8/2013,29-077-0042,1,0.047,ppm,40,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
8/9/2013,29-077-0042,1,0.035,ppm,30,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
8/10/2013,29-077-0042,1,0.043,ppm,36,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
8/11/2013,29-077-0042,1,0.038,ppm,32,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
8/12/2013,29-077-0042,1,0.034,ppm,29,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
8/13/2013,29-077-0042,1,0.035,ppm,30,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
8/14/2013,29-077-0042,1,0.042,ppm,36,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
8/15/2013,29-077-0042,1,0.044,ppm,37,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
8/16/2013,29-077-0042,1,0.045,ppm,38,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
8/17/2013,29-077-0042,1,0.051,ppm,43,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
8/18/2013,29-077-0042,1,0.047,ppm,40,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
8/19/2013,29-077-0042,1,0.047,ppm,40,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
8/20/2013,29-077-0042,1,0.048,ppm,41,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
8/21/2013,29-077-0042,1,0.051,ppm,43,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
8/22/2013,29-077-0042,1,0.055,ppm,47,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
8/23/2013,29-077-0042,1,0.045,ppm,38,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
8/24/2013,29-077-0042,1,0.055,ppm,47,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
8/25/2013,29-077-0042,1,0.053,ppm,45,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
8/26/2013,29-077-0042,1,0.041,ppm,35,24,100,44201,Ozone,,,44180,"Springfield, MO",29,Missouri,77,Greene,37.31951,-93.204635
