"Date","AQS_SITE_ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CSA_CODE","CSA_NAME","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"08/12/2011","29-047-0005","1","0.04000","ppm","34.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"08/13/2011","29-047-0005","1","0.05100","ppm","43.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"08/14/2011","29-047-0005","1","0.04700","ppm","40.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"08/15/2011","29-047-0005","1","0.03300","ppm","28.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"08/16/2011","29-047-0005","1","0.04400","ppm","37.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"08/17/2011","29-047-0005","1","0.04800","ppm","41.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"08/18/2011","29-047-0005","1","0.05000","ppm","42.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"08/19/2011","29-047-0005","1","0.04800","ppm","41.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"08/20/2011","29-047-0005","1","0.04300","ppm","36.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"08/21/2011","29-047-0005","1","0.04500","ppm","38.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"08/22/2011","29-047-0005","1","0.04900","ppm","42.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"08/23/2011","29-047-0005","1","0.06600","ppm","71.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"08/24/2011","29-047-0005","1","0.05400","ppm","46.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"08/25/2011","29-047-0005","1","0.03600","ppm","31.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"08/26/2011","29-047-0005","1","0.05800","ppm","49.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"08/27/2011","29-047-0005","1","0.04600","ppm","39.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"08/28/2011","29-047-0005","1","0.03800","ppm","32.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"08/29/2011","29-047-0005","1","0.04200","ppm","36.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"08/30/2011","29-047-0005","1","0.04400","ppm","37.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"08/31/2011","29-047-0005","1","0.08600","ppm","127.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"09/01/2011","29-047-0005","1","0.07700","ppm","104.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"09/02/2011","29-047-0005","1","0.09200","ppm","142.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"09/03/2011","29-047-0005","1","0.05700","ppm","48.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"09/04/2011","29-047-0005","1","0.03000","ppm","25.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"09/05/2011","29-047-0005","1","0.02700","ppm","23.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"09/06/2011","29-047-0005","1","0.03600","ppm","31.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"09/07/2011","29-047-0005","1","0.04000","ppm","34.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"09/08/2011","29-047-0005","1","0.04200","ppm","36.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"09/09/2011","29-047-0005","1","0.03400","ppm","29.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"09/10/2011","29-047-0005","1","0.03600","ppm","31.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"09/11/2011","29-047-0005","1","0.04500","ppm","38.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"09/12/2011","29-047-0005","1","0.05400","ppm","46.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"09/13/2011","29-047-0005","1","0.03600","ppm","31.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"09/14/2011","29-047-0005","1","0.02900","ppm","25.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"09/15/2011","29-047-0005","1","0.02800","ppm","24.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"09/16/2011","29-047-0005","1","0.02200","ppm","19.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"09/17/2011","29-047-0005","1","0.02500","ppm","21.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"09/18/2011","29-047-0005","1","0.02600","ppm","22.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
"09/19/2011","29-047-0005","1","0.04200","ppm","36.00","24","100.0000","44201","Ozone","312","Kansas City-Overland Park-Kansas City, MO-KS","28140","Kansas City, MO-KS","29","Missouri","047","Clay","39.303090","-94.376623"
